date,location,admission_count,disease_type,age_group,created_at
2024-02-15,Ho Chi Minh City,45,Flu,31-50,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,22,Flu,51-65,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,30,Flu,65+,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,8,Pneumonia,0-18,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,10,Pneumonia,19-30,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,12,Pneumonia,31-50,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,6,Pneumonia,51-65,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,4,Pneumonia,65+,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,8,Heart Disease,0-18,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,10,Heart Disease,19-30,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,12,Heart Disease,31-50,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,12,Heart Disease,51-65,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,14,Heart Disease,65+,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,6,Diabetes,0-18,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,8,Diabetes,19-30,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,10,Diabetes,31-50,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,5,Diabetes,51-65,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,3,Diabetes,65+,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,3,Dengue Fever,0-18,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,4,Dengue Fever,19-30,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,5,Dengue Fever,31-50,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,2,Dengue Fever,51-65,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,1,Dengue Fever,65+,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,26,Others,0-18,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,32,Others,19-30,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,39,Others,31-50,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,19,Others,51-65,2025-08-26T12:35:24.742935
2024-02-15,Ho Chi Minh City,13,Others,65+,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,13,COVID-19,0-18,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,16,COVID-19,19-30,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,19,COVID-19,31-50,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,9,COVID-19,51-65,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,16,COVID-19,65+,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,59,Flu,0-18,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,49,Flu,19-30,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,59,Flu,31-50,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,29,Flu,51-65,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,39,Flu,65+,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,10,Pneumonia,0-18,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,13,Pneumonia,19-30,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,15,Pneumonia,31-50,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,7,Pneumonia,51-65,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,5,Pneumonia,65+,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,6,Heart Disease,0-18,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,8,Heart Disease,19-30,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,9,Heart Disease,31-50,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,9,Heart Disease,51-65,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,11,Heart Disease,65+,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,6,Diabetes,0-18,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,7,Diabetes,19-30,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,9,Diabetes,31-50,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,4,Diabetes,51-65,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,3,Diabetes,65+,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,4,Dengue Fever,0-18,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,5,Dengue Fever,19-30,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,6,Dengue Fever,31-50,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,3,Dengue Fever,51-65,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,2,Dengue Fever,65+,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,19,Others,0-18,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,24,Others,19-30,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,28,Others,31-50,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,14,Others,51-65,2025-08-26T12:35:24.742935
2024-02-16,Ho Chi Minh City,9,Others,65+,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,6,COVID-19,0-18,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,7,COVID-19,19-30,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,9,COVID-19,31-50,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,4,COVID-19,51-65,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,7,COVID-19,65+,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,39,Flu,0-18,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,33,Flu,19-30,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,39,Flu,31-50,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,19,Flu,51-65,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,26,Flu,65+,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,2,Pneumonia,0-18,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,3,Pneumonia,19-30,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,4,Pneumonia,31-50,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,2,Pneumonia,51-65,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,1,Pneumonia,65+,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,4,Heart Disease,0-18,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,5,Heart Disease,19-30,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,6,Heart Disease,31-50,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,6,Heart Disease,51-65,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,8,Heart Disease,65+,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,4,Diabetes,0-18,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,6,Diabetes,19-30,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,7,Diabetes,31-50,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,3,Diabetes,51-65,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,2,Diabetes,65+,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,2,Dengue Fever,0-18,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,3,Dengue Fever,19-30,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,4,Dengue Fever,31-50,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,2,Dengue Fever,51-65,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,1,Dengue Fever,65+,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,13,Others,0-18,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,17,Others,19-30,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,20,Others,31-50,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,10,Others,51-65,2025-08-26T12:35:24.742935
2024-02-17,Ho Chi Minh City,6,Others,65+,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,10,COVID-19,0-18,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,12,COVID-19,19-30,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,15,COVID-19,31-50,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,7,COVID-19,51-65,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,12,COVID-19,65+,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,22,Flu,0-18,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,18,Flu,19-30,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,22,Flu,31-50,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,11,Flu,51-65,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,14,Flu,65+,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,5,Pneumonia,0-18,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,7,Pneumonia,19-30,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,8,Pneumonia,31-50,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,4,Pneumonia,51-65,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,2,Pneumonia,65+,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,5,Heart Disease,0-18,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,7,Heart Disease,19-30,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,8,Heart Disease,31-50,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,8,Heart Disease,51-65,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,9,Heart Disease,65+,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,4,Diabetes,0-18,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,5,Diabetes,19-30,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,6,Diabetes,31-50,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,3,Diabetes,51-65,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,2,Diabetes,65+,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,2,Dengue Fever,0-18,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,2,Dengue Fever,19-30,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,3,Dengue Fever,31-50,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,1,Dengue Fever,51-65,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,1,Dengue Fever,65+,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,12,Others,0-18,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,15,Others,19-30,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,18,Others,31-50,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,9,Others,51-65,2025-08-26T12:35:24.742935
2024-02-18,Ho Chi Minh City,6,Others,65+,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,11,COVID-19,0-18,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,14,COVID-19,19-30,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,17,COVID-19,31-50,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,8,COVID-19,51-65,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,14,COVID-19,65+,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,33,Flu,0-18,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,28,Flu,19-30,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,33,Flu,31-50,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,16,Flu,51-65,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,22,Flu,65+,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,7,Pneumonia,0-18,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,9,Pneumonia,19-30,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,11,Pneumonia,31-50,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,5,Pneumonia,51-65,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,3,Pneumonia,65+,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,8,Heart Disease,0-18,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,11,Heart Disease,19-30,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,13,Heart Disease,31-50,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,13,Heart Disease,51-65,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,15,Heart Disease,65+,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,6,Diabetes,0-18,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,8,Diabetes,19-30,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,9,Diabetes,31-50,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,4,Diabetes,51-65,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,3,Diabetes,65+,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,2,Dengue Fever,0-18,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,3,Dengue Fever,19-30,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,4,Dengue Fever,31-50,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,2,Dengue Fever,51-65,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,1,Dengue Fever,65+,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,12,Others,0-18,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,15,Others,19-30,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,18,Others,31-50,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,9,Others,51-65,2025-08-26T12:35:24.742935
2024-02-19,Ho Chi Minh City,6,Others,65+,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,11,COVID-19,0-18,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,14,COVID-19,19-30,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,17,COVID-19,31-50,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,8,COVID-19,51-65,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,14,COVID-19,65+,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,53,Flu,0-18,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,44,Flu,19-30,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,53,Flu,31-50,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,26,Flu,51-65,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,35,Flu,65+,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,9,Pneumonia,0-18,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,11,Pneumonia,19-30,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,13,Pneumonia,31-50,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,6,Pneumonia,51-65,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,4,Pneumonia,65+,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,7,Heart Disease,0-18,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,9,Heart Disease,19-30,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,11,Heart Disease,31-50,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,11,Heart Disease,51-65,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,12,Heart Disease,65+,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,4,Diabetes,0-18,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,6,Diabetes,19-30,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,7,Diabetes,31-50,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,3,Diabetes,51-65,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,2,Diabetes,65+,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,2,Dengue Fever,0-18,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,3,Dengue Fever,19-30,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,3,Dengue Fever,31-50,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,1,Dengue Fever,51-65,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,1,Dengue Fever,65+,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,15,Others,0-18,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,19,Others,19-30,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,22,Others,31-50,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,11,Others,51-65,2025-08-26T12:35:24.742935
2024-02-20,Ho Chi Minh City,7,Others,65+,2025-08-26T12:35:24.742935
2024-02-21,Ho Chi Minh City,13,COVID-19,0-18,2025-08-26T12:35:24.742935
2024-02-21,Ho Chi Minh City,17,COVID-19,19-30,2025-08-26T12:35:24.742935
2024-02-21,Ho Chi Minh City,20,COVID-19,31-50,2025-08-26T12:35:24.742935
2024-02-21,Ho Chi Minh City,10,COVID-19,51-65,2025-08-26T12:35:24.742935
2024-02-21,Ho Chi Minh City,17,COVID-19,65+,2025-08-26T12:35:24.742935
2024-02-21,Ho Chi Minh City,54,Flu,0-18,2025-08-26T12:35:24.742935
2024-02-21,Ho Chi Minh City,45,Flu,19-30,2025-08-26T12:35:24.742935
2024-02-21,Ho Chi Minh City,54,Flu,31-50,2025-08-26T12:35:24.742935
2024-02-21,Ho Chi Minh City,27,Flu,51-65,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,36,Flu,65+,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,9,Pneumonia,0-18,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,11,Pneumonia,19-30,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,13,Pneumonia,31-50,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,6,Pneumonia,51-65,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,4,Pneumonia,65+,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,7,Heart Disease,0-18,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,8,Heart Disease,19-30,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,10,Heart Disease,31-50,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,10,Heart Disease,51-65,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,12,Heart Disease,65+,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,5,Diabetes,0-18,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,6,Diabetes,19-30,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,7,Diabetes,31-50,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,3,Diabetes,51-65,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,2,Diabetes,65+,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,4,Dengue Fever,0-18,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,5,Dengue Fever,19-30,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,6,Dengue Fever,31-50,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,3,Dengue Fever,51-65,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,2,Dengue Fever,65+,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,24,Others,0-18,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,30,Others,19-30,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,36,Others,31-50,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,18,Others,51-65,2025-08-26T12:35:24.743934
2024-02-21,Ho Chi Minh City,12,Others,65+,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,11,COVID-19,0-18,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,14,COVID-19,19-30,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,17,COVID-19,31-50,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,8,COVID-19,51-65,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,14,COVID-19,65+,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,54,Flu,0-18,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,45,Flu,19-30,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,54,Flu,31-50,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,27,Flu,51-65,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,36,Flu,65+,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,8,Pneumonia,0-18,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,10,Pneumonia,19-30,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,12,Pneumonia,31-50,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,6,Pneumonia,51-65,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,4,Pneumonia,65+,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,7,Heart Disease,0-18,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,9,Heart Disease,19-30,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,11,Heart Disease,31-50,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,11,Heart Disease,51-65,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,13,Heart Disease,65+,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,6,Diabetes,0-18,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,7,Diabetes,19-30,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,9,Diabetes,31-50,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,4,Diabetes,51-65,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,3,Diabetes,65+,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,3,Dengue Fever,0-18,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,4,Dengue Fever,19-30,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,4,Dengue Fever,31-50,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,2,Dengue Fever,51-65,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,1,Dengue Fever,65+,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,21,Others,0-18,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,27,Others,19-30,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,32,Others,31-50,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,16,Others,51-65,2025-08-26T12:35:24.743934
2024-02-22,Ho Chi Minh City,10,Others,65+,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,5,COVID-19,0-18,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,6,COVID-19,19-30,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,8,COVID-19,31-50,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,4,COVID-19,51-65,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,6,COVID-19,65+,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,41,Flu,0-18,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,34,Flu,19-30,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,41,Flu,31-50,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,20,Flu,51-65,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,27,Flu,65+,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,7,Pneumonia,0-18,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,9,Pneumonia,19-30,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,10,Pneumonia,31-50,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,5,Pneumonia,51-65,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,3,Pneumonia,65+,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,5,Heart Disease,0-18,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,6,Heart Disease,19-30,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,8,Heart Disease,31-50,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,8,Heart Disease,51-65,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,9,Heart Disease,65+,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,5,Diabetes,0-18,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,7,Diabetes,19-30,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,8,Diabetes,31-50,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,4,Diabetes,51-65,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,2,Diabetes,65+,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,4,Dengue Fever,0-18,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,5,Dengue Fever,19-30,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,6,Dengue Fever,31-50,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,3,Dengue Fever,51-65,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,2,Dengue Fever,65+,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,21,Others,0-18,2025-08-26T12:35:24.743934
2024-02-23,Ho Chi Minh City,27,Others,19-30,2025-08-26T12:35:24.743934
